Product,Region,Year,Sales
Rolex Submariner,Europe - Western,2024,65856.49
AirPods Pro,Latin America - Central,2019,977.11
IKEA Billy Bookcase,Europe - Northern,2020,48.6
MacBook Air M2,Europe - Eastern,2022,7570.39
IKEA Billy Bookcase,Europe - Northern,2019,399.44
PlayStation 5,Asia - Eastern,2023,2101.81
Adidas Ultraboost,Europe - Eastern,2020,310.55
Microsoft Surface Pro,Africa - Eastern,2020,2200.92
MacBook Air M2,Europe - Eastern,2021,4788.36
Nike Air Force 1,Middle East - Gulf,2020,453.12
Google Pixel 7,Latin America - Southern,2021,1866.19
MacBook Air M2,Asia - Eastern,2022,8214.59
West Elm Sofa,Latin America - Southern,2019,714.17
GoPro Hero 11,Middle East - Gulf,2022,926.87
Herman Miller Chair,North America - West,2024,14770.55
Samsung QLED TV,North America - East,2019,1584.02
Ray-Ban Aviators,Europe - Western,2023,579.25
Apple Watch Series 8,Oceania - New Zealand,2024,2292.17
Google Pixel 7,North America - Central,2024,1262.28
Levi's 501 Jeans,Latin America - Northern,2020,252.07
Herman Miller Chair,Europe - Southern,2024,10978.24
Vitamix Blender,North America - East,2022,3233.9
Roomba i7+,Latin America - Northern,2024,3219.8
Pottery Barn Dining Table,Oceania - Australia,2022,6315.66
Nespresso Vertuo,North America - East,2023,241.98
Samsung Galaxy S23,North America - West,2023,6569.48
Pottery Barn Dining Table,Europe - Western,2019,6856.51
Dell XPS 13,Latin America - Central,2024,1774.78
Samsung Galaxy S23,Middle East - Levant,2021,519.53
Microsoft Surface Pro,Latin America - Northern,2024,5214.36
West Elm Sofa,Middle East - Levant,2022,7825.05
Lululemon Align Leggings,Middle East - Levant,2019,68.98
LG OLED TV,North America - East,2020,7870.47
Sony WH-1000XM5,Middle East - Gulf,2020,840.77
Rolex Submariner,Asia - Eastern,2023,13072.79
GoPro Hero 11,Europe - Northern,2021,1729.71
Breville Coffee Maker,Europe - Eastern,2019,464.72
Sony WH-1000XM5,Europe - Eastern,2020,2282.44
Samsung Galaxy S23,Africa - Western,2020,998.48
Rolex Submariner,Africa - Southern,2020,26102.06
LG OLED TV,Latin America - Central,2023,9911.14
GoPro Hero 11,Middle East - Levant,2024,2846.89
Ninja Air Fryer,Oceania - Australia,2019,202.05
Nintendo Switch OLED,Asia - Eastern,2024,3851.48
Tempur-Pedic Mattress,North America - East,2023,7489.36
AirPods Pro,Europe - Northern,2021,1267.45
PlayStation 5,Latin America - Central,2023,2100.83
Levi's 501 Jeans,Africa - Western,2019,25.37
Xbox Series X,Europe - Western,2020,936.42
Dell XPS 13,Africa - Eastern,2022,3642.22
Samsung QLED TV,North America - West,2019,10382.64
Canon EOS R6,Oceania - Australia,2023,13155.4
Dyson V11 Vacuum,North America - Central,2019,2721.45
Ray-Ban Aviators,North America - East,2024,145.63
Vitamix Blender,Oceania - Australia,2019,2150.55
IKEA Billy Bookcase,Europe - Northern,2023,98.45
Rolex Submariner,Europe - Western,2023,19124.18
Nintendo Switch OLED,Europe - Eastern,2021,2233.96
Ray-Ban Aviators,Oceania - New Zealand,2020,546.14
Google Pixel 7,North America - West,2024,5901.37
iPad Pro,Africa - Eastern,2024,792.06
West Elm Sofa,North America - East,2023,3783.93
Samsung QLED TV,North America - East,2019,1584.02
Apple Watch Series 8,Africa - Western,2019,321.1
PlayStation 5,Europe - Eastern,2023,3145.34
Rolex Submariner,Europe - Eastern,2023,35946.3
Samsung Galaxy S23,Middle East - Gulf,2019,5141.72
Roomba i7+,Latin America - Southern,2022,3121.06
Lululemon Align Leggings,Europe - Eastern,2019,377.53
Pottery Barn Dining Table,Asia - Southeastern,2022,851.91
KitchenAid Mixer,Europe - Southern,2023,2711.76
Herman Miller Chair,Oceania - Australia,2021,9063.31
Vitamix Blender,Asia - Southern,2020,983.62
Lululemon Align Leggings,Latin America - Southern,2022,304.07
Ray-Ban Aviators,Europe - Western,2020,281.13
Nespresso Vertuo,Oceania - New Zealand,2020,658.5
Sony WH-1000XM5,Asia - Eastern,2020,2980.31
Samsung Galaxy S23,Middle East - Levant,2024,764.08
GoPro Hero 11,Asia - Eastern,2021,2060.07
Nike Air Force 1,Europe - Southern,2023,346.19
MacBook Air M2,Europe - Southern,2024,7837.65
Instant Pot Pro,Oceania - New Zealand,2021,252.47
Lululemon Align Leggings,Middle East - Levant,2022,99.75
Ray-Ban Aviators,Oceania - New Zealand,2019,107.57
Tempur-Pedic Mattress,Middle East - Gulf,2019,11445.42
MacBook Air M2,North America - West,2021,7401.99
PlayStation 5,Europe - Northern,2024,613.03
iPad Pro,North America - West,2022,11105.62
LG OLED TV,Europe - Eastern,2024,8008.21
Dell XPS 13,Asia - Southeastern,2019,1282.3
LG OLED TV,Europe - Western,2022,5705.84
Dell XPS 13,North America - East,2023,12512.08
Lululemon Align Leggings,Asia - Southeastern,2021,272.25
KitchenAid Mixer,North America - Central,2022,2121.47
Levi's 501 Jeans,Asia - Southern,2019,178.19
PlayStation 5,Asia - Southeastern,2021,2244.33
Google Pixel 7,Africa - Southern,2024,4722.72
LG OLED TV,Middle East - Gulf,2022,8536.92
Canon EOS R6,Middle East - Levant,2022,10747.3
Nintendo Switch OLED,Latin America - Southern,2019,1161.68
Roomba i7+,Latin America - Central,2024,1764.04
Adidas Ultraboost,North America - East,2019,747.43
West Elm Sofa,Europe - Eastern,2024,6866.71
Lululemon Align Leggings,Middle East - Levant,2020,208.05
Dell XPS 13,Asia - Eastern,2022,4779.7
IKEA Billy Bookcase,North America - Central,2020,139.6
Xbox Series X,Latin America - Central,2023,487.21
Levi's 501 Jeans,Asia - Southeastern,2023,431.93
LG OLED TV,Europe - Northern,2022,3317.66
iPad Pro,Latin America - Northern,2024,7698.76
Roomba i7+,Europe - Northern,2020,540.05
Lululemon Align Leggings,North America - Central,2020,210.65
Apple Watch Series 8,Oceania - New Zealand,2022,327.16
Ninja Air Fryer,North America - Central,2019,274.56
Nespresso Vertuo,Oceania - New Zealand,2023,573.93
iPad Pro,Middle East - Levant,2022,768.93
Sony WH-1000XM5,Europe - Eastern,2020,2282.44
Canon EOS R6,Asia - Southern,2022,4697.27
Instant Pot Pro,North America - Central,2019,788.95
Samsung QLED TV,Oceania - Australia,2023,6934.31
GoPro Hero 11,Asia - Eastern,2020,1117.04
Breville Coffee Maker,Asia - Southeastern,2021,166.81
Samsung Galaxy S23,Europe - Eastern,2024,3195.77
Nike Air Force 1,Europe - Northern,2022,494.27
LG OLED TV,Asia - Southeastern,2021,2986.0
Instant Pot Pro,Latin America - Northern,2024,447.32
Apple Watch Series 8,Latin America - Northern,2019,304.74
Herman Miller Chair,Africa - Southern,2019,2493.96
Canon EOS R6,Middle East - Gulf,2021,15670.08
iPhone 14 Pro,Middle East - Gulf,2019,3187.74
Nespresso Vertuo,Asia - Southeastern,2019,803.84
AirPods Pro,Africa - Eastern,2020,154.21
Rolex Submariner,Middle East - Levant,2021,23683.31
Microsoft Surface Pro,Latin America - Central,2022,3462.19
LG OLED TV,Middle East - Gulf,2023,6605.54
GoPro Hero 11,Africa - Eastern,2022,1168.19
Lululemon Align Leggings,Africa - Western,2024,330.76
Samsung QLED TV,Asia - Eastern,2019,10224.55
Roomba i7+,Asia - Southern,2020,491.89
Microsoft Surface Pro,Oceania - Australia,2019,2470.12
Sony WH-1000XM5,Oceania - New Zealand,2020,1826.83
Herman Miller Chair,Africa - Eastern,2020,1611.12
Roomba i7+,Africa - Western,2024,4144.57
Nespresso Vertuo,Europe - Western,2023,431.37
LG OLED TV,Europe - Northern,2024,7206.97
Sony WH-1000XM5,Middle East - Levant,2021,798.59
iPad Pro,Middle East - Levant,2019,3819.85
LG OLED TV,Europe - Northern,2019,5916.93
Dell XPS 13,Europe - Southern,2024,4995.67
Xbox Series X,Oceania - Australia,2019,1797.25
Breville Coffee Maker,North America - Central,2022,788.62
Nintendo Switch OLED,Africa - Eastern,2022,237.13
Dell XPS 13,Africa - Southern,2023,4119.72
Ninja Air Fryer,Latin America - Southern,2022,326.53
KitchenAid Mixer,Africa - Western,2019,1208.22
Tempur-Pedic Mattress,Latin America - Central,2019,851.48
Sony WH-1000XM5,Europe - Western,2020,423.3
KitchenAid Mixer,Oceania - Australia,2022,1814.04
IKEA Billy Bookcase,Africa - Southern,2024,117.8
Nike Air Force 1,Latin America - Northern,2024,294.77
MacBook Air M2,Europe - Eastern,2021,4788.36
Dell XPS 13,North America - West,2021,8186.31
Dell XPS 13,Europe - Northern,2019,6245.68
GoPro Hero 11,Latin America - Southern,2023,2187.1
Nintendo Switch OLED,Europe - Eastern,2019,1281.99
Sony WH-1000XM5,Europe - Northern,2024,4073.13
IKEA Billy Bookcase,Europe - Southern,2021,253.67
Nintendo Switch OLED,Africa - Eastern,2019,529.76
Breville Coffee Maker,Asia - Eastern,2022,1286.55
Roomba i7+,Asia - Southern,2020,491.89
Lululemon Align Leggings,North America - West,2019,267.83
Microsoft Surface Pro,North America - East,2020,7684.59
West Elm Sofa,Europe - Western,2022,11459.26
MacBook Air M2,Africa - Eastern,2023,1757.73
Breville Coffee Maker,Europe - Northern,2020,545.2
Pottery Barn Dining Table,Asia - Southeastern,2019,1503.06
Canon EOS R6,Middle East - Gulf,2022,21810.93
Levi's 501 Jeans,Middle East - Gulf,2023,271.75
Instant Pot Pro,North America - Central,2024,986.84
Microsoft Surface Pro,Africa - Eastern,2020,2200.92
Canon EOS R6,Europe - Northern,2020,16988.74
Pottery Barn Dining Table,Asia - Southeastern,2021,7998.11
iPhone 14 Pro,Asia - Eastern,2022,4407.59
LG OLED TV,Africa - Western,2023,6230.47
MacBook Air M2,Europe - Western,2019,7614.67
PlayStation 5,Africa - Eastern,2022,797.02
Dell XPS 13,North America - West,2020,6193.44
Adidas Ultraboost,Europe - Western,2023,178.5
Dell XPS 13,Asia - Southeastern,2022,1991.12
LG OLED TV,Africa - Eastern,2021,4918.09
Nike Air Force 1,Latin America - Central,2024,254.48
Nintendo Switch OLED,Europe - Northern,2022,1768.12
Breville Coffee Maker,North America - West,2020,1656.26
LG OLED TV,Africa - Southern,2021,7450.68
Nespresso Vertuo,Latin America - Northern,2021,247.35
Google Pixel 7,Asia - Eastern,2020,2571.45
Adidas Ultraboost,Oceania - Australia,2019,194.1
AirPods Pro,Africa - Western,2019,236.02
West Elm Sofa,North America - West,2022,11477.38
MacBook Air M2,Europe - Northern,2023,14813.31
Pottery Barn Dining Table,Middle East - Levant,2020,5643.18
Vitamix Blender,Asia - Eastern,2023,473.08
KitchenAid Mixer,Europe - Western,2020,1833.55
Microsoft Surface Pro,Europe - Northern,2019,2418.1
Herman Miller Chair,Oceania - Australia,2023,1639.15
Pottery Barn Dining Table,Oceania - Australia,2019,980.38
Herman Miller Chair,Africa - Southern,2019,2493.96
AirPods Pro,Asia - Southeastern,2021,749.38
Pottery Barn Dining Table,Africa - Eastern,2021,2506.85
Apple Watch Series 8,Africa - Eastern,2024,903.03
Levi's 501 Jeans,Latin America - Northern,2023,152.46
KitchenAid Mixer,Latin America - Southern,2021,1063.98
Sony WH-1000XM5,Africa - Southern,2024,1709.57
Nespresso Vertuo,North America - West,2021,1002.24
Breville Coffee Maker,Asia - Southern,2022,494.57
Microsoft Surface Pro,North America - Central,2021,13665.78
Roomba i7+,Europe - Western,2020,3990.93
Samsung Galaxy S23,Asia - Southern,2022,5118.21
Xbox Series X,Africa - Southern,2019,2220.33
Pottery Barn Dining Table,Europe - Southern,2020,7302.04
Roomba i7+,Africa - Western,2020,1423.16
MacBook Air M2,Asia - Southern,2020,734.57
Vitamix Blender,Oceania - New Zealand,2019,2634.54
Nespresso Vertuo,Middle East - Levant,2022,162.46
West Elm Sofa,Europe - Western,2022,11459.26
Instant Pot Pro,Middle East - Gulf,2024,114.44
Herman Miller Chair,Africa - Southern,2024,3306.21
LG OLED TV,Asia - Southeastern,2019,1773.52
Roomba i7+,North America - Central,2023,5989.96
Instant Pot Pro,North America - Central,2022,758.89
Samsung QLED TV,Europe - Eastern,2023,9187.86
MacBook Air M2,Middle East - Gulf,2020,4674.89
Levi's 501 Jeans,Middle East - Gulf,2021,50.21
KitchenAid Mixer,Africa - Eastern,2021,398.02
Vitamix Blender,Latin America - Southern,2020,210.57
AirPods Pro,Asia - Eastern,2022,819.62
PlayStation 5,Europe - Northern,2020,1629.04
Nintendo Switch OLED,Europe - Eastern,2022,2282.48
KitchenAid Mixer,Africa - Western,2021,1059.2
PlayStation 5,Latin America - Central,2023,2100.83
Dell XPS 13,North America - East,2022,9591.02
Samsung QLED TV,Oceania - Australia,2024,13610.14
Samsung QLED TV,Asia - Southern,2022,6704.53
Rolex Submariner,Africa - Southern,2019,21380.73
Nike Air Force 1,Middle East - Levant,2020,234.07
Herman Miller Chair,Oceania - New Zealand,2022,7492.63
Vitamix Blender,North America - Central,2022,439.71
MacBook Air M2,North America - West,2019,10412.85
Ray-Ban Aviators,North America - Central,2019,265.17
GoPro Hero 11,North America - Central,2023,491.21
MacBook Air M2,Latin America - Central,2022,6071.52
MacBook Air M2,Africa - Southern,2019,2178.04
Breville Coffee Maker,North America - East,2019,290.71
Microsoft Surface Pro,Latin America - Southern,2024,10310.3
IKEA Billy Bookcase,Middle East - Gulf,2021,277.67
MacBook Air M2,Europe - Northern,2019,5922.26
Apple Watch Series 8,Oceania - New Zealand,2021,239.91
AirPods Pro,Middle East - Levant,2022,328.97
iPad Pro,North America - East,2020,5404.42
Vitamix Blender,Oceania - Australia,2019,2150.55
Herman Miller Chair,Europe - Southern,2022,6216.58
Samsung Galaxy S23,Asia - Southern,2022,5118.21
AirPods Pro,Africa - Southern,2019,1300.6
West Elm Sofa,Africa - Eastern,2021,4764.0
Sony WH-1000XM5,Asia - Eastern,2024,4063.73
Dyson V11 Vacuum,Middle East - Gulf,2024,713.34
IKEA Billy Bookcase,Oceania - New Zealand,2022,570.86
Samsung Galaxy S23,Latin America - Central,2022,4843.21
Herman Miller Chair,Oceania - New Zealand,2023,5078.57
Tempur-Pedic Mattress,Middle East - Gulf,2019,11445.42
LG OLED TV,North America - Central,2019,7598.58
Tempur-Pedic Mattress,Middle East - Levant,2024,3112.3
PlayStation 5,Middle East - Gulf,2023,1151.64
Google Pixel 7,Europe - Western,2023,5456.36
Nespresso Vertuo,Middle East - Levant,2021,125.0
iPad Pro,Oceania - New Zealand,2023,1577.76
Dell XPS 13,Latin America - Central,2020,3788.41
Google Pixel 7,Europe - Western,2021,3487.21
Rolex Submariner,Africa - Eastern,2024,25225.08
Dell XPS 13,Latin America - Southern,2019,3269.44
Dell XPS 13,Oceania - New Zealand,2023,14337.75
IKEA Billy Bookcase,Latin America - Central,2020,117.45
Dyson V11 Vacuum,North America - West,2024,4601.27
AirPods Pro,Africa - Western,2019,236.02
Sony WH-1000XM5,Europe - Northern,2019,1303.95
Apple Watch Series 8,Europe - Eastern,2024,598.01
Levi's 501 Jeans,Latin America - Northern,2024,234.72
Xbox Series X,Africa - Southern,2021,746.07
AirPods Pro,Europe - Northern,2024,2266.72
Vitamix Blender,Europe - Northern,2021,2190.05
iPhone 14 Pro,Europe - Eastern,2020,2947.81
Adidas Ultraboost,Middle East - Gulf,2021,896.92
Dyson V11 Vacuum,Africa - Western,2022,2293.32
IKEA Billy Bookcase,Middle East - Levant,2020,39.59
Nike Air Force 1,Europe - Eastern,2024,76.12
Adidas Ultraboost,North America - East,2021,309.92
Lululemon Align Leggings,North America - East,2019,162.14
Google Pixel 7,Africa - Eastern,2022,1520.97
Nike Air Force 1,Europe - Northern,2022,494.27
Breville Coffee Maker,Africa - Eastern,2023,751.61
Samsung QLED TV,Asia - Eastern,2021,4239.11
PlayStation 5,Latin America - Central,2022,821.6
Ray-Ban Aviators,Latin America - Northern,2023,619.34
Xbox Series X,North America - West,2022,2660.68
iPad Pro,Europe - Western,2022,5220.58
Samsung QLED TV,North America - West,2024,2056.76
AirPods Pro,Latin America - Central,2022,1509.03
West Elm Sofa,Oceania - Australia,2023,1910.93
IKEA Billy Bookcase,Africa - Western,2020,202.5
Samsung Galaxy S23,Europe - Eastern,2020,2867.37
Tempur-Pedic Mattress,Latin America - Northern,2021,6113.22
Rolex Submariner,North America - West,2022,27772.11
Pottery Barn Dining Table,Europe - Northern,2019,3731.72
KitchenAid Mixer,Latin America - Central,2021,1823.2
KitchenAid Mixer,Middle East - Gulf,2023,1863.03
Adidas Ultraboost,Africa - Eastern,2022,66.2
MacBook Air M2,Latin America - Central,2023,6489.21
Nike Air Force 1,Asia - Eastern,2022,145.73
Herman Miller Chair,Oceania - New Zealand,2019,6988.15
Lululemon Align Leggings,Europe - Northern,2021,114.17
Dell XPS 13,Africa - Southern,2023,4119.72
Dyson V11 Vacuum,Middle East - Levant,2024,1697.57
GoPro Hero 11,Europe - Western,2019,2880.41
Roomba i7+,Europe - Northern,2024,2283.68
LG OLED TV,Asia - Southeastern,2022,9802.04
Ray-Ban Aviators,Asia - Southeastern,2022,81.9
Ray-Ban Aviators,Asia - Southeastern,2020,192.18
Dell XPS 13,Europe - Western,2022,7743.34
iPhone 14 Pro,Europe - Western,2023,10207.16
PlayStation 5,Oceania - New Zealand,2020,2618.47
Levi's 501 Jeans,North America - Central,2020,291.73
Breville Coffee Maker,Asia - Southern,2024,460.39
Nike Air Force 1,Africa - Western,2023,133.71
Nike Air Force 1,North America - West,2023,99.93
Nike Air Force 1,Africa - Western,2023,133.71
Microsoft Surface Pro,Africa - Southern,2020,7841.88
West Elm Sofa,Oceania - Australia,2022,10881.04
Dyson V11 Vacuum,Latin America - Southern,2022,2444.2
Pottery Barn Dining Table,North America - Central,2021,4729.55
iPhone 14 Pro,Asia - Southeastern,2021,6214.65
Dyson V11 Vacuum,Africa - Southern,2019,753.0
Vitamix Blender,North America - West,2020,815.25
Apple Watch Series 8,Latin America - Northern,2022,1592.23
Xbox Series X,North America - West,2024,2816.63
Xbox Series X,Europe - Northern,2023,1333.48
iPhone 14 Pro,Europe - Southern,2020,1941.92
Microsoft Surface Pro,North America - Central,2019,3283.4
IKEA Billy Bookcase,Europe - Western,2023,754.17
Levi's 501 Jeans,Oceania - New Zealand,2024,546.4
Herman Miller Chair,Africa - Western,2023,6708.4
Adidas Ultraboost,Asia - Southeastern,2020,86.01
IKEA Billy Bookcase,North America - West,2024,232.6
AirPods Pro,North America - West,2022,2547.81
iPad Pro,Africa - Southern,2023,1982.47
Herman Miller Chair,Middle East - Levant,2020,2039.14
Samsung QLED TV,Latin America - Central,2019,4968.52
AirPods Pro,Asia - Eastern,2023,829.4
Ray-Ban Aviators,Asia - Southern,2024,622.37
Sony WH-1000XM5,Middle East - Gulf,2021,3586.6
Pottery Barn Dining Table,Africa - Western,2022,6585.99
Xbox Series X,Latin America - Central,2020,1801.61
Nespresso Vertuo,Africa - Southern,2021,269.63
Sony WH-1000XM5,Latin America - Central,2024,380.6
Microsoft Surface Pro,Africa - Eastern,2024,6157.19
LG OLED TV,North America - West,2021,14459.77
iPad Pro,Oceania - New Zealand,2023,1577.76
Ray-Ban Aviators,Europe - Eastern,2022,449.16
Lululemon Align Leggings,Africa - Eastern,2021,30.99
Google Pixel 7,North America - West,2022,8444.85
Nespresso Vertuo,Latin America - Northern,2021,247.35
Adidas Ultraboost,Latin America - Northern,2020,367.67
IKEA Billy Bookcase,Asia - Eastern,2022,159.8
Ray-Ban Aviators,Latin America - Northern,2021,163.99
Ray-Ban Aviators,Asia - Eastern,2019,68.46
Rolex Submariner,Middle East - Levant,2019,3063.23
Canon EOS R6,Asia - Southeastern,2024,10587.68
Nespresso Vertuo,North America - Central,2022,1280.44
Tempur-Pedic Mattress,Asia - Eastern,2020,5978.04
KitchenAid Mixer,Latin America - Northern,2019,1617.98
Dell XPS 13,Middle East - Gulf,2021,1179.85
AirPods Pro,North America - West,2022,2547.81
Nike Air Force 1,Europe - Eastern,2023,123.63
Instant Pot Pro,Asia - Eastern,2022,253.77
Ninja Air Fryer,Middle East - Gulf,2021,1051.37
Levi's 501 Jeans,Africa - Western,2024,37.24
Samsung QLED TV,Oceania - Australia,2023,6934.31
iPhone 14 Pro,Middle East - Gulf,2020,6296.06
Apple Watch Series 8,North America - Central,2021,1594.27
Nike Air Force 1,Europe - Western,2022,255.41
PlayStation 5,Latin America - Northern,2021,295.21
Samsung Galaxy S23,North America - Central,2021,1567.35
Microsoft Surface Pro,Europe - Western,2021,8436.17
Adidas Ultraboost,Middle East - Gulf,2023,712.86
PlayStation 5,Oceania - New Zealand,2020,2618.47
Xbox Series X,Latin America - Northern,2022,856.47
iPhone 14 Pro,Oceania - New Zealand,2022,5169.21
Xbox Series X,Europe - Eastern,2019,978.1
Rolex Submariner,Middle East - Gulf,2020,35602.75
Nintendo Switch OLED,North America - West,2024,2566.71
Lululemon Align Leggings,Europe - Northern,2022,191.16
LG OLED TV,Europe - Western,2021,7192.45
AirPods Pro,North America - East,2022,2517.15
Microsoft Surface Pro,Middle East - Levant,2024,8737.17
Levi's 501 Jeans,Africa - Eastern,2023,281.12
Apple Watch Series 8,Oceania - Australia,2023,762.09
Nike Air Force 1,Europe - Eastern,2023,123.63
Nike Air Force 1,Asia - Eastern,2022,145.73
Herman Miller Chair,Asia - Southeastern,2023,2009.88
IKEA Billy Bookcase,North America - East,2020,571.76
Adidas Ultraboost,Europe - Southern,2022,214.97
GoPro Hero 11,North America - Central,2020,1224.84
iPad Pro,Oceania - Australia,2019,4319.35
Dyson V11 Vacuum,Asia - Eastern,2020,936.59
iPad Pro,Africa - Western,2021,2524.69
Canon EOS R6,Asia - Eastern,2022,23315.84
Dyson V11 Vacuum,North America - Central,2022,3467.98
Instant Pot Pro,Asia - Eastern,2021,83.35
Adidas Ultraboost,Africa - Western,2020,184.03
Samsung QLED TV,Middle East - Gulf,2023,12425.45
Rolex Submariner,Europe - Western,2023,19124.18
Ninja Air Fryer,North America - West,2023,1403.79
PlayStation 5,Latin America - Central,2023,2100.83
Herman Miller Chair,Africa - Western,2020,3166.88
Instant Pot Pro,Latin America - Northern,2020,71.3
Microsoft Surface Pro,Europe - Northern,2023,3874.56
Lululemon Align Leggings,Asia - Southern,2021,254.02
Nintendo Switch OLED,Latin America - Central,2021,592.57
Nintendo Switch OLED,Europe - Southern,2024,447.54
Vitamix Blender,Africa - Western,2020,199.92
Herman Miller Chair,Oceania - New Zealand,2020,6749.89
Levi's 501 Jeans,Middle East - Levant,2024,315.82
Rolex Submariner,Oceania - Australia,2019,35212.25
Roomba i7+,Latin America - Central,2021,3511.72
Samsung Galaxy S23,North America - West,2023,6569.48
IKEA Billy Bookcase,Europe - Southern,2022,226.5
Canon EOS R6,Asia - Eastern,2019,12338.99
Roomba i7+,Europe - Northern,2024,2283.68
Nespresso Vertuo,Africa - Western,2019,280.89
iPad Pro,Latin America - Northern,2023,1903.55
Breville Coffee Maker,Europe - Western,2023,1817.89
LG OLED TV,Africa - Western,2024,8972.35
LG OLED TV,Africa - Western,2023,6230.47
iPad Pro,Europe - Northern,2023,1356.39
GoPro Hero 11,North America - East,2019,420.86
Roomba i7+,Oceania - Australia,2020,4791.62
GoPro Hero 11,Europe - Western,2024,3017.34
Dell XPS 13,North America - East,2024,2048.23
MacBook Air M2,North America - East,2023,7610.97
Xbox Series X,Asia - Eastern,2019,2509.89
Roomba i7+,Europe - Southern,2019,3471.45
Breville Coffee Maker,Asia - Southeastern,2024,587.19
Roomba i7+,Asia - Southern,2024,1282.36
Adidas Ultraboost,Asia - Southern,2023,501.61
Rolex Submariner,Europe - Northern,2023,31110.73
Breville Coffee Maker,Africa - Western,2023,1235.79
Levi's 501 Jeans,Oceania - New Zealand,2020,450.81
Ninja Air Fryer,Asia - Southern,2022,942.08
Breville Coffee Maker,Middle East - Gulf,2019,1827.3
Instant Pot Pro,Middle East - Gulf,2020,861.25
MacBook Air M2,North America - East,2023,7610.97
Nike Air Force 1,Africa - Southern,2020,236.12
Tempur-Pedic Mattress,Oceania - Australia,2019,10357.13
Roomba i7+,Oceania - New Zealand,2023,8579.42
KitchenAid Mixer,Asia - Eastern,2022,515.31
LG OLED TV,Europe - Western,2023,5879.85
Dyson V11 Vacuum,Middle East - Levant,2020,2393.14
Sony WH-1000XM5,Middle East - Levant,2024,2293.22
Nintendo Switch OLED,Europe - Western,2021,3170.45
AirPods Pro,Europe - Eastern,2022,2226.32
iPad Pro,Latin America - Northern,2023,1903.55
Instant Pot Pro,Oceania - Australia,2021,400.2
Levi's 501 Jeans,Oceania - New Zealand,2024,546.4
Samsung Galaxy S23,Latin America - Central,2023,2697.64
iPhone 14 Pro,Africa - Southern,2024,2903.39
Samsung QLED TV,Latin America - Central,2021,2758.55
AirPods Pro,Africa - Eastern,2019,117.98
West Elm Sofa,Europe - Western,2022,11459.26
PlayStation 5,North America - West,2024,758.82
Roomba i7+,North America - Central,2019,4167.55
Pottery Barn Dining Table,Europe - Western,2019,6856.51
Breville Coffee Maker,Oceania - New Zealand,2019,1378.41
Roomba i7+,Europe - Northern,2022,2582.16
Lululemon Align Leggings,Africa - Southern,2019,30.01
GoPro Hero 11,Europe - Eastern,2022,2524.82
PlayStation 5,North America - Central,2024,644.12
Nike Air Force 1,Asia - Eastern,2023,529.66
Apple Watch Series 8,Middle East - Gulf,2024,2275.13
GoPro Hero 11,North America - West,2021,3214.67
Breville Coffee Maker,Middle East - Levant,2022,843.81
Roomba i7+,Africa - Southern,2021,2724.86
Dyson V11 Vacuum,Africa - Southern,2022,1558.51
Herman Miller Chair,Middle East - Gulf,2022,2132.37
Dyson V11 Vacuum,Middle East - Gulf,2022,1233.88
GoPro Hero 11,Oceania - New Zealand,2019,1850.8
Breville Coffee Maker,North America - East,2022,1170.81
Ninja Air Fryer,Latin America - Southern,2020,274.76
Google Pixel 7,Asia - Eastern,2019,2046.8
Nike Air Force 1,Europe - Western,2023,281.67
Nintendo Switch OLED,Middle East - Levant,2023,1467.87
IKEA Billy Bookcase,Africa - Southern,2023,186.6
Sony WH-1000XM5,Africa - Eastern,2022,707.08
Apple Watch Series 8,Europe - Southern,2022,2148.45
Herman Miller Chair,Middle East - Gulf,2021,3398.84
AirPods Pro,Middle East - Levant,2019,1585.5
Instant Pot Pro,Latin America - Northern,2023,65.42
Breville Coffee Maker,North America - East,2022,1170.81
Roomba i7+,Europe - Eastern,2020,4325.67
Pottery Barn Dining Table,Africa - Western,2019,4057.05
iPad Pro,Oceania - Australia,2019,4319.35
iPhone 14 Pro,Europe - Western,2021,1106.04
Rolex Submariner,Africa - Eastern,2023,6059.89
Nike Air Force 1,Latin America - Central,2020,154.35
iPad Pro,Africa - Western,2022,2346.86
Vitamix Blender,North America - East,2023,2242.32
Apple Watch Series 8,Europe - Southern,2020,1837.49
Google Pixel 7,Oceania - Australia,2020,3585.94
iPad Pro,Oceania - New Zealand,2020,9073.6
Samsung QLED TV,Europe - Southern,2024,9242.48
AirPods Pro,Middle East - Gulf,2021,1415.56
Nintendo Switch OLED,Middle East - Gulf,2021,344.99
Nintendo Switch OLED,Europe - Southern,2019,1814.66
Nespresso Vertuo,Africa - Eastern,2019,488.02
Nintendo Switch OLED,Europe - Eastern,2022,2282.48
Nintendo Switch OLED,Asia - Eastern,2021,2304.42
Ray-Ban Aviators,Africa - Southern,2020,123.18
Microsoft Surface Pro,Asia - Southern,2021,7299.22
Levi's 501 Jeans,North America - West,2020,269.03
GoPro Hero 11,Europe - Western,2024,3017.34
Tempur-Pedic Mattress,North America - East,2024,17427.37
Levi's 501 Jeans,Europe - Eastern,2022,261.65
Nike Air Force 1,Oceania - New Zealand,2021,136.83
Herman Miller Chair,Africa - Western,2021,1242.16
iPad Pro,Oceania - New Zealand,2019,6333.3
Nintendo Switch OLED,Asia - Southeastern,2022,323.93
Nike Air Force 1,Middle East - Gulf,2020,453.12
MacBook Air M2,Europe - Western,2022,4949.2
